TagID,EnergyArt,Brand_Type,Date,Time,TotalVolumeHLT,EnergyUsedAdjusted
782,CO2,Læsk,2019-05-11 00:00:00,11,533.1744,537.00
782,CO2,Læsk,2019-05-19 00:00:00,9,266.112,537.00
782,CO2,Læsk,2019-05-20 00:00:00,5,337.1544,537.00
782,CO2,Læsk,2019-05-21 00:00:00,23,1004.0111999999998,537.00
782,CO2,Læsk,2019-05-23 00:00:00,0,852.732,537.00
782,CO2,Læsk,2019-05-31 00:00:00,16,439.08480000000003,537.00
782,CO2,Læsk,2019-05-01 00:00:00,15,1713.324,536.00
782,CO2,Læsk,2019-05-17 00:00:00,8,321.4728,536.00
782,CO2,Læsk,2019-05-22 00:00:00,22,1090.7088,536.00
782,CO2,Læsk,2019-05-23 00:00:00,10,1093.536,536.00
782,CO2,Læsk,2019-05-27 00:00:00,11,370.2288,536.00
782,CO2,Læsk,2019-05-22 00:00:00,23,1124.3784,534.00
782,CO2,Læsk,2019-05-21 00:00:00,20,1057.7160000000001,533.00
782,CO2,Læsk,2019-05-12 00:00:00,7,221.76000000000002,532.00
782,CO2,Læsk,2019-05-17 00:00:00,6,548.856,532.00
782,CO2,Læsk,2019-05-10 00:00:00,1,869.1744000000001,531.00
782,CO2,Læsk,2019-05-31 00:00:00,20,548.856,531.00
782,CO2,Læsk,2019-05-02 00:00:00,5,971.1768,530.00
782,CO2,Læsk,2019-05-02 00:00:00,6,962.2159999999999,530.00
782,CO2,Læsk,2019-05-05 00:00:00,21,243.06480000000002,530.00
782,CO2,Læsk,2019-05-22 00:00:00,15,1023.2067999999999,528.00
782,CO2,Læsk,2019-05-01 00:00:00,3,1631.6988,527.00
782,CO2,Læsk,2019-05-02 00:00:00,2,1261.5696,527.00
782,CO2,Læsk,2019-05-22 00:00:00,5,1799.8199999999997,527.00
782,CO2,Læsk,2019-05-27 00:00:00,20,1062.1327999999999,527.00
782,CO2,Cider,2019-05-31 00:00:00,6,517.2984,527.00
782,CO2,Læsk,2019-05-16 00:00:00,20,533.1744,526.00
782,CO2,Læsk,2019-05-20 00:00:00,2,337.1544,525.00
782,CO2,Læsk,2019-05-19 00:00:00,8,291.456,524.00
782,CO2,Læsk,2019-05-02 00:00:00,3,1739.1744,523.00
782,CO2,Læsk,2019-05-04 00:00:00,14,290.1096,523.00
782,CO2,Læsk,2019-05-22 00:00:00,19,1037.556,523.00
782,CO2,Læsk,2019-05-10 00:00:00,4,734.856,522.00
782,CO2,Læsk,2019-05-22 00:00:00,21,886.6471999999999,522.00
782,CO2,Læsk,2019-05-16 00:00:00,22,908.3784,521.00
782,CO2,Læsk,2019-05-22 00:00:00,10,810.7560000000001,521.00
782,CO2,Læsk,2019-05-13 00:00:00,21,1518.1971000000003,520.00
782,CO2,Læsk,2019-05-17 00:00:00,20,564.5376,518.00
782,CO2,Læsk,2019-05-17 00:00:00,17,407.7216,517.00
782,CO2,Læsk,2019-05-22 00:00:00,18,1122.8544,516.00
782,CO2,Læsk,2019-05-31 00:00:00,17,486.1296,515.00
782,CO2,Læsk,2019-05-21 00:00:00,8,977.6088,514.00
782,CO2,Læsk,2019-05-21 00:00:00,19,909.972,514.00
782,CO2,Læsk,2019-05-21 00:00:00,13,1270.7784,513.00
782,CO2,Læsk,2019-05-28 00:00:00,1,874.998,511.00
782,CO2,Læsk,2019-05-02 00:00:00,1,1924.6943999999999,510.00
782,CO2,Cider,2019-05-07 00:00:00,9,241.92000000000002,510.00
782,CO2,Læsk,2019-05-11 00:00:00,1,446.92560000000003,510.00
782,CO2,Læsk,2019-05-23 00:00:00,7,932.0952,510.00
782,CO2,Læsk,2019-05-11 00:00:00,15,243.06480000000002,509.00
782,CO2,Læsk,2019-05-17 00:00:00,21,501.8112,509.00
782,CO2,Læsk,2019-05-21 00:00:00,4,501.8112,509.00
782,CO2,Læsk,2019-05-27 00:00:00,10,413.9136,509.00
782,CO2,Læsk,2019-05-21 00:00:00,22,1008.9144000000001,508.00
782,CO2,Læsk,2019-05-22 00:00:00,1,1662.6168,508.00
782,CO2,Læsk,2019-05-01 00:00:00,22,1627.4952,507.00
782,CO2,Læsk,2019-05-27 00:00:00,0,113.97120000000001,507.00
782,CO2,Læsk,2019-05-31 00:00:00,15,548.856,507.00
782,CO2,,2019-05-13 00:00:00,14,,506.00
782,CO2,Læsk,2019-05-22 00:00:00,3,1988.4528,506.00
782,CO2,Læsk,2019-05-22 00:00:00,16,1211.58,506.00
